fbref,name,transfermarkt,url
54d51e22,Fabien Lemoine,56794,/fabien-lemoine/profil/spieler/56794
1545cf15,Houboulang Mendes,442552,/houboulang-mendes/profil/spieler/442552
f066022d,Julien Laporte,386057,/julien-laporte/profil/spieler/386057
31626657,Laurent Abergel,238626,/laurent-abergel/profil/spieler/238626
2d70dbe5,Paul Nardi,189744,/paul-nardi/profil/spieler/189744
a99da9ec,Pierre Yves Hamel,203504,/pierre-yves-hamel/profil/spieler/203504
065dc209,Terem Moffi,538874,/terem-moffi/profil/spieler/538874
5515376c,Trevoh Chalobah,346314,/trevoh-chalobah/profil/spieler/346314
2321ea6e,Vincent Le Goff,120651,/vincent-le-goff/profil/spieler/120651
2500cef9,Yoane Wissa,388165,/yoane-wissa/profil/spieler/388165
6de23ab0,Sinaly Diomande,702441,/sinaly-diomande/profil/spieler/702441
7d08063d,Tino Kadewere,384060,/tino-kadewere/profil/spieler/384060
7c3ed041,Leonardo Balerdi,575998,/leonardo-balerdi/profil/spieler/575998
7155e3e1,Pape Gueye,485963,/pape-gueye/profil/spieler/485963
562a4799,Boubakar Kouyate,211637,/kiki-kouyate/profil/spieler/211637
9d5dcc23,Lamine Gueye,568701,/lamine-gueye/profil/spieler/568701
b0c7a51d,Alexander Scholz,153582,/alexander-scholz/profil/spieler/153582
2944f86f,Frank Onyeka,421637,/frank-onyeka/profil/spieler/421637
30af8b93,Caio Henrique Oliveira Silva,420064,/caio-henrique/profil/spieler/420064
c4173f1a,Vito Mannone,33781,/vito-mannone/profil/spieler/33781
68a26d51,Pedro Chirivella,242273,/pedro-chirivella/profil/spieler/242273
7ef972c3,Flavius Daniliuc,322655,/flavius-daniliuc/profil/spieler/322655
d4fa7d01,Robson Bambu,458715,/robson-bambu/profil/spieler/458715
9b40a6ea,Adrian Cubas,323872,/andres-cubas/profil/spieler/323872
5ea9ebd4,Matteo Ahlinvi,509234,/matteo-ahlinvi/profil/spieler/509234
0033fb1b,Niclas Eliasson,251813,/niclas-eliasson/profil/spieler/251813
a56da3ba,Juan Cruz Armada,169497,/juan-cruz/profil/spieler/169497
7b082ec2,Maxime Busi,570817,/maxime-busi/profil/spieler/570817
a5f458d9,Simon Sohm,507486,/simon-sohm/profil/spieler/507486
4a1a9578,Luis Fernando Diaz,480692,/luis-diaz/profil/spieler/480692
e27fdbca,Wilson Manafa,257388,/wilson-manafa/profil/spieler/257388
24051310,Zaidu Sanusi,544784,/zaidu-sanusi/profil/spieler/544784
489e80e3,Mohamed Camara,543382,/mohamed-camara/profil/spieler/543382
9c221d14,Wout Faes,292808,/wout-faes/profil/spieler/292808
5d0e0a1f,Adrien Truffert,654539,/adrien-truffert/profil/spieler/654539
fffea3e5,Jeremy Doku,486049,/jeremy-doku/profil/spieler/486049
2591b066,Aimen Moueffek,484992,/aimen-moueffek/profil/spieler/484992
3cd7820a,Lucas Douath,620313,/lucas-gourna-douath/profil/spieler/620313
f6b94e8d,Saidou Sow,807128,/saidou-sow/profil/spieler/807128
0ad37003,Yvan Neyou,469669,/yvan-neyou/profil/spieler/469669
215f3907,Mikkel Damsgaard,540941,/mikkel-damsgaard/profil/spieler/540941
9b1b7d78,Kilian Ludewig,361516,/kilian-ludewig/profil/spieler/361516
1bc432b7,Matthew Hoppe,678194,/matthew-hoppe/profil/spieler/678194
7120a04d,Tete,371256,/tete/profil/spieler/371256
7713c72a,Valerii Bondar,396394,/valeriy-bondar/profil/spieler/396394
10b9fa99,Ethan Ampadu,392771,/ethan-ampadu/profil/spieler/392771
30e81a88,Rhian Brewster,406560,/rhian-brewster/profil/spieler/406560
5e105217,William Smallbone,444211,/will-smallbone/profil/spieler/444211
5570e6fb,Claudio Terzi,16873,/claudio-terzi/profil/spieler/16873
f9758dae,Emanuel Gyasi,241076,/emmanuel-gyasi/profil/spieler/241076
957e4c87,Giulio Maggiore,353796,/giulio-maggiore/profil/spieler/353796
c1e8e74e,Luca Vignali,287367,/luca-vignali/profil/spieler/287367
8bc8829a,Lucien Agoume,569384,/lucien-agoume/profil/spieler/569384
0fee6bda,Martin Erlic,357003,/martin-erlic/profil/spieler/357003
3cf7dc7e,Matteo Ricci,198087,/matteo-ricci/profil/spieler/198087
cec60a2f,Nahuel Estevez,552472,/nahuel-estevez/profil/spieler/552472
91d0fabf,Riccardo Marchizza,297645,/riccardo-marchizza/profil/spieler/297645
eb76987d,Salvador Ferrer,624548,/salva-ferrer/profil/spieler/624548
1ac232b8,Simone Bastoni,257751,/simone-bastoni/profil/spieler/257751
55a1cac2,Tommaso Pobega,392538,/tommaso-pobega/profil/spieler/392538
1787195f,Mehdi Chahiri,358509,/mehdi-chahiri/profil/spieler/358509
00963611,Konstantinos Mavropanos,415912,/konstantinos-mavropanos/profil/spieler/415912
2b7c56b4,Mateo Klimowicz,540302,/mateo-klimowicz/profil/spieler/540302
15f24fe7,Sasa Kalajdzic,369567,/sasa-kalajdzic/profil/spieler/369567
de4cac2d,Silas Wamangituka,612826,/silas-wamangituka/profil/spieler/612826
