,match_stats_key,match_id,possession_x,possession_y,fouls_x,fouls_y,corners_x,corners_y,crosses_x,crosses_y,touches_x,touches_y,tackles_x,tackles_y,interceptions_x,interceptions_y,aerials_won_x,aerials_won_y,clearances_x,clearances_y,offsides_x,offsides_y,goal_kicks_x,goal_kicks_y,throw_ins_x,throw_ins_y,long_balls_x,long_balls_y
1898,1898,bd044bad,0.55,0.45,13.0,15.0,3.0,4.0,8.0,16.0,670.0,575.0,18.0,31.0,7.0,15.0,18.0,16.0,18.0,17.0,2.0,4.0,9.0,6.0,27.0,27.0,63.0,63.0
1899,1899,4572cd0e,0.73,0.27,9.0,8.0,14.0,2.0,40.0,4.0,849.0,428.0,18.0,25.0,7.0,4.0,21.0,20.0,4.0,44.0,0.0,1.0,5.0,14.0,19.0,10.0,47.0,72.0
1900,1900,d4898eac,0.49,0.51,12.0,16.0,7.0,6.0,15.0,14.0,612.0,626.0,21.0,23.0,6.0,8.0,34.0,25.0,17.0,28.0,3.0,1.0,6.0,8.0,25.0,12.0,74.0,60.0
1901,1901,2550abdc,0.65,0.35,9.0,11.0,4.0,5.0,5.0,8.0,760.0,456.0,12.0,15.0,7.0,12.0,21.0,33.0,13.0,19.0,0.0,3.0,4.0,12.0,22.0,17.0,66.0,64.0
1902,1902,9d6674f8,0.56,0.44,15.0,13.0,1.0,3.0,17.0,8.0,581.0,517.0,24.0,22.0,4.0,8.0,22.0,30.0,24.0,57.0,2.0,2.0,8.0,6.0,32.0,23.0,79.0,76.0
1903,1903,0333a4b6,0.6,0.4,11.0,18.0,4.0,5.0,10.0,9.0,717.0,497.0,14.0,23.0,7.0,5.0,18.0,23.0,39.0,22.0,3.0,1.0,6.0,11.0,22.0,19.0,57.0,61.0
1904,1904,e5a20f1e,0.31,0.69,13.0,15.0,1.0,10.0,8.0,19.0,461.0,810.0,17.0,15.0,17.0,8.0,25.0,17.0,35.0,15.0,1.0,2.0,11.0,5.0,26.0,24.0,60.0,42.0
1905,1905,bd102a2b,0.44,0.56,16.0,10.0,4.0,5.0,9.0,15.0,557.0,672.0,19.0,24.0,6.0,1.0,30.0,26.0,26.0,25.0,1.0,0.0,6.0,7.0,32.0,22.0,71.0,66.0
1906,1906,d2a888b6,0.53,0.47,9.0,12.0,11.0,5.0,18.0,13.0,673.0,615.0,20.0,16.0,5.0,7.0,15.0,8.0,14.0,32.0,2.0,3.0,8.0,9.0,22.0,22.0,62.0,37.0
1907,1907,003ce1e3,0.45,0.55,16.0,13.0,0.0,8.0,7.0,11.0,528.0,621.0,18.0,20.0,8.0,7.0,28.0,27.0,28.0,42.0,2.0,1.0,10.0,8.0,39.0,32.0,78.0,84.0
1908,1908,ba03a070,0.34,0.66,10.0,14.0,5.0,8.0,8.0,12.0,461.0,745.0,24.0,17.0,14.0,6.0,15.0,17.0,23.0,21.0,2.0,1.0,10.0,6.0,12.0,33.0,58.0,48.0
1909,1909,3deb145e,0.64,0.36,14.0,21.0,6.0,3.0,18.0,12.0,738.0,484.0,13.0,26.0,6.0,19.0,34.0,28.0,8.0,36.0,0.0,3.0,2.0,11.0,29.0,24.0,66.0,64.0
1910,1910,ae7cb0c2,0.33,0.67,14.0,15.0,5.0,13.0,8.0,11.0,425.0,764.0,14.0,9.0,7.0,9.0,24.0,19.0,25.0,18.0,3.0,1.0,13.0,3.0,20.0,23.0,72.0,55.0
1911,1911,33b8c50a,0.56,0.44,15.0,11.0,6.0,4.0,15.0,8.0,743.0,626.0,21.0,14.0,10.0,17.0,23.0,21.0,29.0,44.0,1.0,0.0,7.0,5.0,25.0,20.0,73.0,56.0
1912,1912,38d058ad,0.6,0.4,14.0,8.0,18.0,5.0,29.0,7.0,724.0,537.0,23.0,16.0,9.0,6.0,22.0,13.0,24.0,35.0,2.0,1.0,1.0,9.0,20.0,23.0,44.0,60.0
1913,1913,354b03ac,0.67,0.33,12.0,20.0,7.0,8.0,17.0,5.0,735.0,418.0,22.0,16.0,4.0,8.0,22.0,18.0,6.0,25.0,2.0,1.0,4.0,8.0,23.0,23.0,52.0,49.0
