match_id,team_id,player_id,player_name,nation,age,minutes,shots_against,goals_allowed,saves,xGA,launched_completed,launched_attempted,passes_attempted,throws_attempted,passes_avg_length,gk_attempted,gk_avg_length,crosses_faced,crosses_stopped,defensive_actions,defensive_actions_avg_distance
f114b9b8,6218ebd4,1d0a0f3e,Stefan Frei,SUI,33.25205479452055,90.0,4.0,2.0,2.0,2.1,2.0,7.0,14.0,4.0,33.9,12.0,33.9,7.0,0.0,1.0,16.8
f114b9b8,d076914e,ed6320b7,Steve Clark,USA,33.26849315068493,90.0,6.0,1.0,5.0,1.4,14.0,30.0,31.0,5.0,43.8,13.0,55.8,18.0,1.0,1.0,16.6
e073d9a4,64e81410,c164335e,Sean Johnson,USA,30.153424657534245,90.0,3.0,1.0,2.0,0.8,5.0,20.0,33.0,6.0,39.2,12.0,42.0,14.0,1.0,0.0,13.5
e073d9a4,4acb0537,cc741f50,Tim Melia,USA,33.1972602739726,90.0,7.0,3.0,4.0,1.8,4.0,15.0,17.0,3.0,48.9,12.0,43.5,4.0,0.0,0.0,14.3
45604fa9,81d817a3,550557e1,Pablo Sisniega,MEX,24.05205479452055,90.0,3.0,3.0,1.0,1.3,3.0,14.0,24.0,5.0,38.0,4.0,55.0,7.0,0.0,1.0,15.2
45604fa9,1ebc1a5b,d899e3bf,Brad Guzan,USA,34.87671232876713,90.0,9.0,4.0,6.0,1.9,7.0,20.0,24.0,6.0,49.3,6.0,41.2,3.0,0.0,2.0,19.9
07416696,3c079def,4a51ba65,Matt Turner,USA,25.09041095890411,90.0,6.0,1.0,5.0,1.9,5.0,8.0,14.0,9.0,35.6,5.0,41.8,7.0,0.0,0.0,10.5
07416696,46ef01d0,fff21763,Brian Rowe,USA,30.693150684931503,90.0,4.0,4.0,1.0,2.9,7.0,17.0,16.0,4.0,53.3,9.0,53.2,10.0,0.0,1.0,15.3
1b2ccc64,69a0fb10,15e6b513,Luis Robles,USA,35.2109589041096,90.0,6.0,3.0,3.0,2.0,8.0,16.0,20.0,5.0,36.2,10.0,47.2,3.0,0.0,4.0,18.1
1b2ccc64,529ba333,6b33d86b,Eloy Room,CUW,30.468493150684928,90.0,1.0,2.0,0.0,1.5,4.0,18.0,16.0,2.0,44.1,10.0,56.6,13.0,2.0,0.0,12.5
b5f9413b,99ea75a6,c4173f1a,Vito Mannone,ITA,31.4027397260274,90.0,5.0,0.0,5.0,0.2,4.0,10.0,24.0,11.0,27.5,12.0,40.5,3.0,0.0,2.0,22.6
b5f9413b,ab41cb90,ea42e480,Maxime Crépeau,CAN,25.21095890410959,90.0,1.0,0.0,1.0,0.2,4.0,25.0,34.0,7.0,40.3,12.0,59.3,27.0,3.0,0.0,8.4
