match_id,formation_x,formation_y
b20bc7a2,4-2-2-2,4-2-3-1
43048a20,4-4-2(d),4-1-4-1
7a7eb137,4-1-4-1,4-1-4-1
b7c1dddd,4-2-3-1,4-2-2-2
965a2728,4-4-2(d),4-2-3-1
c46dac13,4-2-3-1,4-1-4-1
bb712af6,4-2-3-1,4-3-1-2
fad459ce,4-2-3-1,3-2-2-1-2
4b081411,4-4-2(d),4-4-2(d)
7c3e2d95,4-1-4-1,3-2-2-2-1
9d464121,4-2-3-1,4-4-2(d)
60f958cf,3-4-3,4-1-4-1
c55cfd03,4-1-4-1,3-4-3
db4160e1,4-1-4-1,4-2-2-2
3ed68156,3-3-2-2,4-2-2-1-1
91f67156,4-2-2-2,4-4-1-1
ffcd2c03,4-2-2-1-1,4-4-2(d)
7205bc42,3-1-2-2-2,4-4-2(d)
6ba7c350,3-2-2-1-2,4-2-2-1-1
293a495c,4-1-4-1,4-1-4-1
e1951938,4-2-2-1-1,4-1-4-1
578e2f7d,4-2-2-1-1,4-2-2-1-1
5d61840b,4-4-2(d),4-1-4-1
68be633d,4-2-2-2,4-2-3-1
c2b78663,3-2-2-2-1,3-4-1-2
fa4fffaf,4-3-1-2,3-2-2-2-1
35e81ca0,4-4-2(d),3-2-2-1-2
fa8d5429,4-2-2-1-1,4-4-2
46a281bb,4-2-3-1,4-3-3
ea19f9d7,4-4-2,4-3-2-1
d7baa594,4-2-3-1,4-2-3-1
700cbf45,4-2-3-1,4-2-3-1
15a9df4e,4-1-4-1,4-4-2
04e05299,3-2-2-2-1,4-2-2-2
498de542,3-1-4-2,4-1-4-1
70a8ef80,4-2-3-1,4-4-2(d)
bdeb0872,3-4-3,4-4-2(d)
b0e79335,3-1-4-2,4-2-3-1
1dad690a,3-4-3,4-4-2(d)
ec3b7521,4-1-4-1,4-1-4-1
fc607c01,4-2-3-1,4-4-2(d)
6863d31d,3-2-2-1-2,3-4-3
e9911489,4-2-3-1,4-2-2-2
223350ea,4-1-4-1,4-2-2-2
5270b553,4-1-4-1,3-3-2-2
c52ed709,4-2-3-1,4-1-4-1
2461f724,3-2-2-1-2,4-2-3-1
5cd763a2,4-4-2(d),4-2-2-2
74a75bd8,4-2-3-1,3-4-1-2
f2f574d1,4-2-3-1,4-1-4-1
120a6b63,4-4-2(d),4-1-4-1
57b73044,4-1-4-1,4-1-4-1
eaadfedb,4-1-4-1,3-2-2-1-2
a901c871,4-2-3-1,4-2-2-2
7e93c1ca,4-1-4-1,4-1-4-1
3b4074fc,4-2-3-1,4-2-2-2
9ff74804,4-4-2(d),5-1-2-2
